Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),29-10-20,44.919,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),22-03-22,10.99,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),03-08-20,15.002,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),02-08-18,309.551,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),04-06-11,122.991,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),26-12-16,152.242,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),09-01-15,5.454,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),09-08-17,14.292,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),03-06-21,14.977,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),14-02-20,17.768,ug/m3,E2a/UTD AQ e-Reporting,
