Country,City,Location,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,0,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,44.919,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2020,10.99,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,15.002,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2017,309.551,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2022,122.991,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,152.242,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2017,5.454,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,14.292,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2022,14.977,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2022,17.768,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2019,2.828,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2020,-3,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2021,27.06,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2020,34.324,ug/m3,E1a/validated data AQ e-Reporting,
